n,m,alpha,beta,gamma,block_size_x,block_size_y,copy_time,sec_per_iter,write_time,is_shared_mem,is_block,is_column,is_row
8000,8000,1.000000,0.900000,0.001000,32,8000,145.756805,5.372341,0.000000,0,0,1,0
8000,8000,1.000000,0.900000,0.001000,64,8000,143.395966,5.370455,0.000000,0,0,1,0
8000,8000,1.000000,0.900000,0.001000,128,8000,137.213150,5.370337,0.000000,0,0,1,0
8000,8000,1.000000,0.900000,0.001000,256,8000,134.941788,5.366495,0.000000,0,0,1,0
8000,8000,1.000000,0.900000,0.001000,512,8000,136.930496,5.369980,0.000000,0,0,1,0
9000,9000,1.000000,0.900000,0.001000,8,9000,172.872604,6.811405,0.000000,0,0,1,0
9000,9000,1.000000,0.900000,0.001000,16,9000,170.228256,6.809761,0.000000,0,0,1,0
9000,9000,1.000000,0.900000,0.001000,32,9000,170.317123,6.810456,0.000000,0,0,1,0
9000,9000,1.000000,0.900000,0.001000,64,9000,170.735519,6.810151,0.000000,0,0,1,0
9000,9000,1.000000,0.900000,0.001000,128,9000,170.122589,6.809743,0.000000,0,0,1,0
9000,9000,1.000000,0.900000,0.001000,256,9000,170.497696,6.810898,0.000000,0,0,1,0
9000,9000,1.000000,0.900000,0.001000,512,9000,170.727203,6.810330,0.000000,0,0,1,0
10000,10000,1.000000,0.900000,0.001000,8,10000,210.238052,8.389195,0.000000,0,0,1,0
10000,10000,1.000000,0.900000,0.001000,16,10000,210.415161,8.389439,0.000000,0,0,1,0
10000,10000,1.000000,0.900000,0.001000,32,10000,210.289307,8.388982,0.000000,0,0,1,0
10000,10000,1.000000,0.900000,0.001000,64,10000,211.113281,8.389267,0.000000,0,0,1,0
10000,10000,1.000000,0.900000,0.001000,128,10000,210.155365,8.388152,0.000000,0,0,1,0
10000,10000,1.000000,0.900000,0.001000,256,10000,208.338943,8.388418,0.000000,0,0,1,0
10000,10000,1.000000,0.900000,0.001000,512,10000,210.257477,8.387998,0.000000,0,0,1,0
1000,1000,1.000000,0.900000,0.001000,1000,8,2.694720,0.106629,0.000000,0,0,0,1
1000,1000,1.000000,0.900000,0.001000,1000,16,2.791424,0.106670,0.000000,0,0,0,1
1000,1000,1.000000,0.900000,0.001000,1000,32,2.693920,0.106494,0.000000,0,0,0,1
1000,1000,1.000000,0.900000,0.001000,1000,64,2.591904,0.106393,0.000000,0,0,0,1
1000,1000,1.000000,0.900000,0.001000,1000,128,2.594784,0.106454,0.000000,0,0,0,1
1000,1000,1.000000,0.900000,0.001000,1000,256,2.728704,0.106277,0.000000,0,0,0,1
1000,1000,1.000000,0.900000,0.001000,1000,512,2.741792,0.106675,0.000000,0,0,0,1
2000,2000,1.000000,0.900000,0.001000,2000,8,10.009952,0.357769,0.000000,0,0,0,1
2000,2000,1.000000,0.900000,0.001000,2000,16,11.453568,0.357557,0.000000,0,0,0,1
2000,2000,1.000000,0.900000,0.001000,2000,32,11.777120,0.356972,0.000000,0,0,0,1
2000,2000,1.000000,0.900000,0.001000,2000,64,10.192384,0.357421,0.000000,0,0,0,1
2000,2000,1.000000,0.900000,0.001000,2000,128,10.039168,0.357418,0.000000,0,0,0,1
2000,2000,1.000000,0.900000,0.001000,2000,256,10.052736,0.357612,0.000000,0,0,0,1
2000,2000,1.000000,0.900000,0.001000,2000,512,10.371680,0.357666,0.000000,0,0,0,1
3000,3000,1.000000,0.900000,0.001000,3000,8,25.886017,0.777074,0.000000,0,0,0,1
